"","game_id","season","week","team","opponent","touchdowns","point_diff2","winner"
"1537","2015_14_OAK_DEN",2015,14,"DEN","LV",0,-3,"LV"
"1538","2015_14_PIT_CIN",2015,14,"CIN","PIT",2,-13,"PIT"
"1539","2015_14_SD_KC",2015,14,"KC","LAC",1,7,"KC"
"1540","2015_14_SEA_BAL",2015,14,"BAL","SEA",0,-29,"SEA"
"1541","2015_14_SF_CLE",2015,14,"CLE","SF",3,14,"CLE"
"1542","2015_14_TEN_NYJ",2015,14,"NYJ","TEN",3,22,"NYJ"
"1543","2015_14_WAS_CHI",2015,14,"CHI","WAS",3,-3,"WAS"
"1544","2015_15_ARI_PHI",2015,15,"PHI","ARI",2,-23,"ARI"
"1545","2015_15_ATL_JAX",2015,15,"JAX","ATL",2,-6,"ATL"
"1546","2015_15_BUF_WAS",2015,15,"WAS","BUF",5,10,"WAS"
"1547","2015_15_CAR_NYG",2015,15,"NYG","CAR",5,-3,"CAR"
"1548","2015_15_CHI_MIN",2015,15,"MIN","CHI",5,21,"MIN"
"1549","2015_15_CIN_SF",2015,15,"SF","CIN",2,-10,"CIN"
"1550","2015_15_CLE_SEA",2015,15,"SEA","CLE",3,17,"SEA"
"1551","2015_15_DEN_PIT",2015,15,"PIT","DEN",4,7,"PIT"
"1552","2015_15_DET_NO",2015,15,"NO","DET",3,-8,"DET"
"1553","2015_15_GB_OAK",2015,15,"LV","GB",2,-10,"GB"
"1554","2015_15_HOU_IND",2015,15,"IND","HOU",1,-6,"HOU"
"1555","2015_15_KC_BAL",2015,15,"BAL","KC",2,-20,"KC"
"1556","2015_15_MIA_SD",2015,15,"LAC","MIA",4,16,"LAC"
"1557","2015_15_NYJ_DAL",2015,15,"DAL","NYJ",1,-3,"NYJ"
"1558","2015_15_TB_STL",2015,15,"LA","TB",4,8,"LA"
"1559","2015_15_TEN_NE",2015,15,"NE","TEN",3,17,"NE"
"1560","2015_16_CAR_ATL",2015,16,"ATL","CAR",2,7,"ATL"
"1561","2015_16_CHI_TB",2015,16,"TB","CHI",3,-5,"CHI"
"1562","2015_16_CIN_DEN",2015,16,"DEN","CIN",2,3,"DEN"
"1563","2015_16_CLE_KC",2015,16,"KC","CLE",2,4,"KC"
"1564","2015_16_DAL_BUF",2015,16,"BUF","DAL",2,10,"BUF"
"1565","2015_16_GB_ARI",2015,16,"ARI","GB",5,30,"ARI"
"1566","2015_16_HOU_TEN",2015,16,"TEN","HOU",1,-28,"HOU"
"1567","2015_16_IND_MIA",2015,16,"MIA","IND",1,-6,"IND"
"1568","2015_16_JAX_NO",2015,16,"NO","JAX",5,11,"NO"
"1569","2015_16_NE_NYJ",2015,16,"NYJ","NE",3,6,"NYJ"
"1570","2015_16_NYG_MIN",2015,16,"MIN","NYG",5,32,"MIN"
"1571","2015_16_PIT_BAL",2015,16,"BAL","PIT",2,3,"BAL"
"1572","2015_16_SD_OAK",2015,16,"LV","LAC",2,3,"LV"
"1573","2015_16_SF_DET",2015,16,"DET","SF",3,15,"DET"
"1574","2015_16_STL_SEA",2015,16,"SEA","LA",2,-6,"LA"
"1575","2015_16_WAS_PHI",2015,16,"PHI","WAS",3,-14,"WAS"
"1576","2015_17_BAL_CIN",2015,17,"CIN","BAL",3,8,"CIN"
"1577","2015_17_DET_CHI",2015,17,"CHI","DET",2,-4,"DET"
"1578","2015_17_JAX_HOU",2015,17,"HOU","JAX",3,24,"HOU"
"1579","2015_17_MIN_GB",2015,17,"GB","MIN",1,-7,"MIN"
"1580","2015_17_NE_MIA",2015,17,"MIA","NE",2,10,"MIA"
"1581","2015_17_NO_ATL",2015,17,"ATL","NO",2,-3,"NO"
"1582","2015_17_NYJ_BUF",2015,17,"BUF","NYJ",2,5,"BUF"
"1583","2015_17_OAK_KC",2015,17,"KC","LV",3,6,"KC"
"1584","2015_17_PHI_NYG",2015,17,"NYG","PHI",3,-5,"PHI"
"1585","2015_17_PIT_CLE",2015,17,"CLE","PIT",0,-16,"PIT"
"1586","2015_17_SD_DEN",2015,17,"DEN","LAC",3,7,"DEN"
"1587","2015_17_SEA_ARI",2015,17,"ARI","SEA",1,-30,"SEA"
"1588","2015_17_STL_SF",2015,17,"SF","LA",1,3,"SF"
"1589","2015_17_TB_CAR",2015,17,"CAR","TB",5,28,"CAR"
"1590","2015_17_TEN_IND",2015,17,"IND","TEN",3,6,"IND"
"1591","2015_17_WAS_DAL",2015,17,"DAL","WAS",3,-11,"WAS"
"1592","2015_18_GB_WAS",2015,18,"WAS","GB",2,-17,"GB"
"1593","2015_18_KC_HOU",2015,18,"HOU","KC",0,-30,"KC"
"1594","2015_18_PIT_CIN",2015,18,"CIN","PIT",2,-2,"PIT"
"1595","2015_18_SEA_MIN",2015,18,"MIN","SEA",0,-1,"SEA"
"1596","2015_19_GB_ARI",2015,19,"ARI","GB",3,6,"ARI"
"1597","2015_19_KC_NE",2015,19,"NE","KC",3,7,"NE"
"1598","2015_19_PIT_DEN",2015,19,"DEN","PIT",1,7,"DEN"
"1599","2015_19_SEA_CAR",2015,19,"CAR","SEA",4,7,"CAR"
"1600","2015_20_ARI_CAR",2015,20,"CAR","ARI",6,34,"CAR"
"1601","2015_20_NE_DEN",2015,20,"DEN","NE",2,2,"DEN"
"1602","2015_21_CAR_DEN",2015,21,"DEN","CAR",2,14,"DEN"
"1603","2016_01_BUF_BAL",2016,1,"BAL","BUF",1,6,"BAL"
"1604","2016_01_CAR_DEN",2016,1,"DEN","CAR",3,1,"DEN"
"1605","2016_01_CHI_HOU",2016,1,"HOU","CHI",2,9,"HOU"
"1606","2016_01_CIN_NYJ",2016,1,"NYJ","CIN",2,-1,"CIN"
"1607","2016_01_CLE_PHI",2016,1,"PHI","CLE",3,19,"PHI"
"1608","2016_01_DET_IND",2016,1,"IND","DET",4,-4,"DET"
"1609","2016_01_GB_JAX",2016,1,"JAX","GB",2,-4,"GB"
"1610","2016_01_LA_SF",2016,1,"SF","LA",4,28,"SF"
"1611","2016_01_MIA_SEA",2016,1,"SEA","MIA",1,2,"SEA"
"1612","2016_01_MIN_TEN",2016,1,"TEN","MIN",2,-9,"MIN"
"1613","2016_01_NE_ARI",2016,1,"ARI","NE",3,-2,"NE"
"1614","2016_01_NYG_DAL",2016,1,"DAL","NYG",1,-1,"NYG"
"1615","2016_01_OAK_NO",2016,1,"NO","LV",4,-1,"LV"
"1616","2016_01_PIT_WAS",2016,1,"WAS","PIT",1,-22,"PIT"
"1617","2016_01_SD_KC",2016,1,"KC","LAC",4,6,"KC"
"1618","2016_01_TB_ATL",2016,1,"ATL","TB",2,-7,"TB"
"1619","2016_02_ATL_OAK",2016,2,"LV","ATL",4,-7,"ATL"
"1620","2016_02_BAL_CLE",2016,2,"CLE","BAL",3,-5,"BAL"
"1621","2016_02_CIN_PIT",2016,2,"PIT","CIN",3,8,"PIT"
"1622","2016_02_DAL_WAS",2016,2,"WAS","DAL",2,-4,"DAL"
"1623","2016_02_GB_MIN",2016,2,"MIN","GB",2,3,"MIN"
"1624","2016_02_IND_DEN",2016,2,"DEN","IND",3,14,"DEN"
"1625","2016_02_JAX_SD",2016,2,"LAC","JAX",5,24,"LAC"
"1626","2016_02_KC_HOU",2016,2,"HOU","KC",1,7,"HOU"
"1627","2016_02_MIA_NE",2016,2,"NE","MIA",4,7,"NE"
"1628","2016_02_NO_NYG",2016,2,"NYG","NO",1,3,"NYG"
"1629","2016_02_NYJ_BUF",2016,2,"BUF","NYJ",4,-6,"NYJ"
"1630","2016_02_PHI_CHI",2016,2,"CHI","PHI",2,-15,"PHI"
"1631","2016_02_SEA_LA",2016,2,"LA","SEA",0,6,"LA"
"1632","2016_02_SF_CAR",2016,2,"CAR","SF",5,19,"CAR"
"1633","2016_02_TB_ARI",2016,2,"ARI","TB",5,33,"ARI"
"1634","2016_02_TEN_DET",2016,2,"DET","TEN",1,-1,"TEN"
"1635","2016_03_ARI_BUF",2016,3,"BUF","ARI",4,15,"BUF"
"1636","2016_03_ATL_NO",2016,3,"NO","ATL",4,-13,"ATL"
"1637","2016_03_BAL_JAX",2016,3,"JAX","BAL",2,-2,"BAL"
"1638","2016_03_CHI_DAL",2016,3,"DAL","CHI",4,14,"DAL"
"1639","2016_03_CLE_MIA",2016,3,"MIA","CLE",4,6,"MIA"
"1640","2016_03_DEN_CIN",2016,3,"CIN","DEN",2,-12,"DEN"
"1641","2016_03_DET_GB",2016,3,"GB","DET",4,7,"GB"
"1642","2016_03_HOU_NE",2016,3,"NE","HOU",3,27,"NE"
"1643","2016_03_LA_TB",2016,3,"TB","LA",5,-5,"LA"
"1644","2016_03_MIN_CAR",2016,3,"CAR","MIN",1,-12,"MIN"
"1645","2016_03_NYJ_KC",2016,3,"KC","NYJ",3,21,"KC"
"1646","2016_03_OAK_TEN",2016,3,"TEN","LV",1,-7,"LV"
"1647","2016_03_PIT_PHI",2016,3,"PHI","PIT",4,31,"PHI"
"1648","2016_03_SD_IND",2016,3,"IND","LAC",3,4,"IND"
"1649","2016_03_SF_SEA",2016,3,"SEA","SF",4,19,"SEA"
