"","game_id","team","point_diff","week","season"
"295","2011_02_PHI_ATL","ATL",4,2,2011
"296","2011_02_SD_NE","NE",14,2,2011
"297","2011_02_SEA_PIT","PIT",24,2,2011
"298","2011_02_STL_NYG","NYG",12,2,2011
"299","2011_02_TB_MIN","MIN",-4,2,2011
"300","2011_03_ARI_SEA","SEA",3,3,2011
"301","2011_03_ATL_TB","TB",3,3,2011
"302","2011_03_BAL_STL","LA",-30,3,2011
"303","2011_03_DEN_TEN","TEN",3,3,2011
"304","2011_03_DET_MIN","MIN",-3,3,2011
"305","2011_03_GB_CHI","CHI",-10,3,2011
"306","2011_03_HOU_NO","NO",7,3,2011
"307","2011_03_JAX_CAR","CAR",6,3,2011
"308","2011_03_KC_SD","LAC",3,3,2011
"309","2011_03_MIA_CLE","CLE",1,3,2011
"310","2011_03_NE_BUF","BUF",3,3,2011
"311","2011_03_NYG_PHI","PHI",-13,3,2011
"312","2011_03_NYJ_OAK","LV",10,3,2011
"313","2011_03_PIT_IND","IND",-3,3,2011
"314","2011_03_SF_CIN","CIN",-5,3,2011
"315","2011_03_WAS_DAL","DAL",2,3,2011
"316","2011_04_ATL_SEA","SEA",-2,4,2011
"317","2011_04_BUF_CIN","CIN",3,4,2011
"318","2011_04_CAR_CHI","CHI",5,4,2011
"319","2011_04_DEN_GB","GB",26,4,2011
"320","2011_04_DET_DAL","DAL",-4,4,2011
"321","2011_04_IND_TB","TB",7,4,2011
"322","2011_04_MIA_SD","LAC",10,4,2011
"323","2011_04_MIN_KC","KC",5,4,2011
"324","2011_04_NE_OAK","LV",-12,4,2011
"325","2011_04_NO_JAX","JAX",-13,4,2011
"326","2011_04_NYG_ARI","ARI",-4,4,2011
"327","2011_04_NYJ_BAL","BAL",17,4,2011
"328","2011_04_PIT_HOU","HOU",7,4,2011
"329","2011_04_SF_PHI","PHI",-1,4,2011
"330","2011_04_TEN_CLE","CLE",-18,4,2011
"331","2011_04_WAS_STL","LA",-7,4,2011
"332","2011_05_ARI_MIN","MIN",24,5,2011
"333","2011_05_CHI_DET","DET",11,5,2011
"334","2011_05_CIN_JAX","JAX",-10,5,2011
"335","2011_05_GB_ATL","ATL",-11,5,2011
"336","2011_05_KC_IND","IND",-4,5,2011
"337","2011_05_NO_CAR","CAR",-3,5,2011
"338","2011_05_NYJ_NE","NE",9,5,2011
"339","2011_05_OAK_HOU","HOU",-5,5,2011
"340","2011_05_PHI_BUF","BUF",7,5,2011
