"","game_id","week","season","team","opponent","fg_pct","winner","point_diff_real"
"4492","2011_11_ARI_SF",11,2011,"ARI","SF",0,"SF",-16
"4493","2011_11_BUF_MIA",11,2011,"BUF","MIA",1,"MIA",-27
"4494","2011_11_CAR_DET",11,2011,"CAR","DET",1,"DET",-14
"4495","2011_11_CIN_BAL",11,2011,"CIN","BAL",1,"BAL",-7
"4496","2011_11_DAL_WAS",11,2011,"DAL","WAS",1,"DAL",3
"4497","2011_11_JAX_CLE",11,2011,"JAX","CLE",1,"CLE",-4
"4498","2011_11_KC_NE",11,2011,"KC","NE",1,"NE",-31
"4499","2011_11_NYJ_DEN",11,2011,"NYJ","DEN",0.5,"DEN",-4
"4500","2011_11_OAK_MIN",11,2011,"LV","MIN",0.666666666666667,"LV",6
"4501","2011_11_PHI_NYG",11,2011,"PHI","NYG",1,"PHI",7
"4502","2011_11_SD_CHI",11,2011,"LAC","CHI",0.666666666666667,"CHI",-11
"4503","2011_11_SEA_STL",11,2011,"SEA","LA",1,"SEA",17
"4504","2011_11_TB_GB",11,2011,"TB","GB",1,"GB",-9
"4505","2011_11_TEN_ATL",11,2011,"TEN","ATL",1,"ATL",-6
"4506","2011_12_ARI_STL",12,2011,"ARI","LA",1,"ARI",3
"4507","2011_12_BUF_NYJ",12,2011,"BUF","NYJ",1,"NYJ",-4
"4508","2011_12_CAR_IND",12,2011,"CAR","IND",0.666666666666667,"CAR",8
"4509","2011_12_CHI_OAK",12,2011,"CHI","LV",1,"LV",-5
"4510","2011_12_CLE_CIN",12,2011,"CLE","CIN",0.666666666666667,"CIN",-3
"4511","2011_12_DEN_SD",12,2011,"DEN","LAC",1,"DEN",3
"4512","2011_12_GB_DET",12,2011,"GB","DET",1,"GB",12
"4513","2011_12_HOU_JAX",12,2011,"HOU","JAX",1,"HOU",7
"4514","2011_12_MIA_DAL",12,2011,"MIA","DAL",0.8,"DAL",-1
"4515","2011_12_MIN_ATL",12,2011,"MIN","ATL",0,"ATL",-10
"4516","2011_12_NE_PHI",12,2011,"NE","PHI",0.5,"NE",18
"4517","2011_12_NYG_NO",12,2011,"NYG","NO",0.5,"NO",-25
"4518","2011_12_PIT_KC",12,2011,"PIT","KC",1,"PIT",4
"4519","2011_12_SF_BAL",12,2011,"SF","BAL",1,"BAL",-10
"4520","2011_12_TB_TEN",12,2011,"TB","TEN",1,"TEN",-6
"4521","2011_12_WAS_SEA",12,2011,"WAS","SEA",0.5,"WAS",6
"4522","2011_13_ATL_HOU",13,2011,"ATL","HOU",1,"HOU",-7
"4523","2011_13_BAL_CLE",13,2011,"BAL","CLE",0.333333333333333,"BAL",14
"4524","2011_13_CAR_TB",13,2011,"CAR","TB",1,"CAR",19
"4525","2011_13_CIN_PIT",13,2011,"CIN","PIT",0,"PIT",-28
"4526","2011_13_DAL_ARI",13,2011,"DAL","ARI",0.5,"ARI",-6
"4527","2011_13_DEN_MIN",13,2011,"DEN","MIN",1,"DEN",3
"4528","2011_13_DET_NO",13,2011,"DET","NO",0.333333333333333,"NO",-14
"4529","2011_13_GB_NYG",13,2011,"GB","NYG",0.5,"GB",3
"4530","2011_13_IND_NE",13,2011,"IND","NE",1,"NE",-7
"4531","2011_13_KC_CHI",13,2011,"KC","CHI",1,"KC",7
"4532","2011_13_NYJ_WAS",13,2011,"NYJ","WAS",0.666666666666667,"NYJ",15
"4533","2011_13_OAK_MIA",13,2011,"LV","MIA",0,"MIA",-20
"4534","2011_13_PHI_SEA",13,2011,"PHI","SEA",0,"SEA",-17
"4535","2011_13_SD_JAX",13,2011,"LAC","JAX",1,"LAC",24
"4536","2011_13_STL_SF",13,2011,"LA","SF",0,"SF",-26
"4537","2011_13_TEN_BUF",13,2011,"TEN","BUF",1,"TEN",6
"4538","2011_14_ATL_CAR",14,2011,"ATL","CAR",0.5,"ATL",8
"4539","2011_14_BUF_SD",14,2011,"BUF","LAC",0.5,"LAC",-27
"4540","2011_14_CHI_DEN",14,2011,"CHI","DEN",1,"DEN",-3
"4541","2011_14_CLE_PIT",14,2011,"CLE","PIT",1,"PIT",-11
"4542","2011_14_HOU_CIN",14,2011,"HOU","CIN",0.666666666666667,"HOU",1
"4543","2011_14_IND_BAL",14,2011,"IND","BAL",1,"BAL",-14
"4544","2011_14_KC_NYJ",14,2011,"KC","NYJ",1,"NYJ",-27
"4545","2011_14_MIN_DET",14,2011,"MIN","DET",0,"DET",-6
"4546","2011_14_NE_WAS",14,2011,"NE","WAS",1,"NE",7
"4547","2011_14_NO_TEN",14,2011,"NO","TEN",1,"NO",5
"4548","2011_14_NYG_DAL",14,2011,"NYG","DAL",1,"NYG",3
"4549","2011_14_OAK_GB",14,2011,"LV","GB",0,"GB",-30
"4550","2011_14_PHI_MIA",14,2011,"PHI","MIA",1,"PHI",16
"4551","2011_14_SF_ARI",14,2011,"SF","ARI",0.8,"ARI",-2
"4552","2011_14_STL_SEA",14,2011,"LA","SEA",1,"SEA",-17
"4553","2011_14_TB_JAX",14,2011,"TB","JAX",0,"JAX",-27
"4554","2011_15_BAL_SD",15,2011,"BAL","LAC",0,"LAC",-20
"4555","2011_15_CAR_HOU",15,2011,"CAR","HOU",0,"CAR",15
"4556","2011_15_CIN_STL",15,2011,"CIN","LA",1,"CIN",7
"4557","2011_15_CLE_ARI",15,2011,"CLE","ARI",1,"ARI",-3
"4558","2011_15_DAL_TB",15,2011,"DAL","TB",1,"DAL",16
"4559","2011_15_DET_OAK",15,2011,"DET","LV",0,"DET",1
"4560","2011_15_GB_KC",15,2011,"GB","KC",0,"KC",-5
"4561","2011_15_JAX_ATL",15,2011,"JAX","ATL",0,"ATL",-27
"4562","2011_15_MIA_BUF",15,2011,"MIA","BUF",1,"MIA",7
"4563","2011_15_NE_DEN",15,2011,"NE","DEN",1,"NE",18
"4564","2011_15_NO_MIN",15,2011,"NO","MIN",0,"NO",22
"4565","2011_15_NYJ_PHI",15,2011,"NYJ","PHI",1,"PHI",-26
"4566","2011_15_PIT_SF",15,2011,"PIT","SF",0.5,"SF",-17
"4567","2011_15_SEA_CHI",15,2011,"SEA","CHI",1,"SEA",24
"4568","2011_15_TEN_IND",15,2011,"TEN","IND",1,"IND",-14
"4569","2011_15_WAS_NYG",15,2011,"WAS","NYG",1,"WAS",13
"4570","2011_16_ARI_CIN",16,2011,"ARI","CIN",1,"CIN",-7
"4571","2011_16_ATL_NO",16,2011,"ATL","NO",1,"NO",-29
"4572","2011_16_CHI_GB",16,2011,"CHI","GB",0.666666666666667,"GB",-14
"4573","2011_16_CLE_BAL",16,2011,"CLE","BAL",0,"BAL",-6
"4574","2011_16_DEN_BUF",16,2011,"DEN","BUF",0,"BUF",-26
"4575","2011_16_HOU_IND",16,2011,"HOU","IND",1,"IND",-3
"4576","2011_16_JAX_TEN",16,2011,"JAX","TEN",1,"TEN",-6
"4577","2011_16_MIA_NE",16,2011,"MIA","NE",1,"NE",-3
"4578","2011_16_MIN_WAS",16,2011,"MIN","WAS",0.666666666666667,"MIN",7
"4579","2011_16_NYG_NYJ",16,2011,"NYG","NYJ",1,"NYG",15
"4580","2011_16_OAK_KC",16,2011,"LV","KC",0.75,"LV",3
"4581","2011_16_PHI_DAL",16,2011,"PHI","DAL",1,"PHI",13
"4582","2011_16_SD_DET",16,2011,"LAC","DET",1,"DET",-28
"4583","2011_16_SF_SEA",16,2011,"SF","SEA",0.8,"SF",2
"4584","2011_16_STL_PIT",16,2011,"LA","PIT",0,"PIT",-27
"4585","2011_16_TB_CAR",16,2011,"TB","CAR",1,"CAR",-32
"4586","2011_17_BAL_CIN",17,2011,"BAL","CIN",1,"BAL",8
"4587","2011_17_BUF_NE",17,2011,"BUF","NE",0,"NE",-28
"4588","2011_17_CAR_NO",17,2011,"CAR","NO",1,"NO",-28
"4589","2011_17_CHI_MIN",17,2011,"CHI","MIN",1,"CHI",4
"4590","2011_17_DAL_NYG",17,2011,"DAL","NYG",0,"NYG",-17
"4591","2011_17_DET_GB",17,2011,"DET","GB",0.5,"GB",-4
"4592","2011_17_IND_JAX",17,2011,"IND","JAX",1,"JAX",-6
"4593","2011_17_KC_DEN",17,2011,"KC","DEN",0,"KC",4
"4594","2011_17_NYJ_MIA",17,2011,"NYJ","MIA",1,"MIA",-2
"4595","2011_17_PIT_CLE",17,2011,"PIT","CLE",0.666666666666667,"PIT",4
"4596","2011_17_SD_OAK",17,2011,"LAC","LV",0.5,"LAC",12
"4597","2011_17_SEA_ARI",17,2011,"SEA","ARI",0.666666666666667,"ARI",-3
"4598","2011_17_SF_STL",17,2011,"SF","LA",0.666666666666667,"SF",7
"4599","2011_17_TB_ATL",17,2011,"TB","ATL",1,"ATL",-21
"4600","2011_17_TEN_HOU",17,2011,"TEN","HOU",1,"TEN",1
"4601","2011_17_WAS_PHI",17,2011,"WAS","PHI",0.5,"PHI",-24
"4602","2011_18_ATL_NYG",18,2011,"ATL","NYG",0,"NYG",-22
"4603","2011_18_CIN_HOU",18,2011,"CIN","HOU",0.5,"HOU",-21
"4604","2011_18_DET_NO",18,2011,"DET","NO",0,"NO",-17
"4605","2011_18_PIT_DEN",18,2011,"PIT","DEN",1,"DEN",-6
"4606","2011_19_DEN_NE",19,2011,"DEN","NE",1,"NE",-35
"4607","2011_19_HOU_BAL",19,2011,"HOU","BAL",0.666666666666667,"BAL",-7
"4608","2011_19_NO_SF",19,2011,"NO","SF",1,"SF",-4
"4609","2011_19_NYG_GB",19,2011,"NYG","GB",0.75,"NYG",17
"4610","2011_20_BAL_NE",20,2011,"BAL","NE",0.666666666666667,"NE",-3
"4611","2011_20_NYG_SF",20,2011,"NYG","SF",1,"NYG",3
"4612","2011_21_NYG_NE",21,2011,"NYG","NE",1,"NYG",4
"4613","2012_01_ATL_KC",1,2012,"ATL","KC",1,"ATL",16
"4614","2012_01_BUF_NYJ",1,2012,"BUF","NYJ",0,"NYJ",-20
"4615","2012_01_CAR_TB",1,2012,"CAR","TB",1,"TB",-6
"4616","2012_01_CIN_BAL",1,2012,"CIN","BAL",1,"BAL",-31
"4617","2012_01_DAL_NYG",1,2012,"DAL","NYG",1,"DAL",7
"4618","2012_01_IND_CHI",1,2012,"IND","CHI",0,"CHI",-20
"4619","2012_01_JAX_MIN",1,2012,"JAX","MIN",1,"MIN",-3
